#torch_mlp 
#neg_slope : 0.02
#learning_rate : 0.002
#batch_size : 200
#hidden_units : [100]
#max_steps : 1500
#GPUs : 1
#epoch batch max_steps loss train_acc test_acc test_loss
0 0 1500 2.303 0.055 0.088 2.303
0 100 1500 1.779 0.325 0.360 1.779
0 200 1500 1.695 0.430 0.397 1.671
1 300 1500 1.641 0.430 0.383 1.758
1 400 1500 1.673 0.410 0.433 1.595
1 500 1500 1.545 0.440 0.461 1.532
2 600 1500 1.394 0.510 0.455 1.550
2 700 1500 1.695 0.410 0.447 1.541
3 800 1500 1.632 0.415 0.436 1.631
3 900 1500 1.320 0.520 0.453 1.528
3 1000 1500 1.465 0.500 0.449 1.585
4 1100 1500 1.581 0.460 0.438 1.600
4 1200 1500 1.351 0.540 0.475 1.507
5 1300 1500 1.274 0.560 0.464 1.570
5 1400 1500 1.457 0.535 0.452 1.552
5 1500 1500 1.508 0.495 0.450 1.615
