#torch_mlp 
#neg_slope : 0.05
#learning_rate : 0.008
#batch_size : 400
#hidden_units : [100, 100]
#max_steps : 5000
#GPUs : 1
#epoch batch max_steps loss train_acc test_acc test_loss
0 0 7000 2.303 0.075 0.098 2.303
0 100 7000 2.303 0.113 0.100 2.303
1 200 7000 2.303 0.105 0.100 2.303
2 300 7000 2.303 0.095 0.100 2.303
3 400 7000 2.303 0.122 0.100 2.303
3 500 7000 2.303 0.083 0.100 2.303
4 600 7000 2.303 0.095 0.100 2.303
5 700 7000 2.303 0.070 0.100 2.303
6 800 7000 2.303 0.095 0.100 2.303
7 900 7000 2.303 0.070 0.100 2.303
7 1000 7000 2.303 0.077 0.100 2.303
8 1100 7000 2.303 0.102 0.100 2.303
9 1200 7000 2.303 0.102 0.100 2.303
10 1300 7000 2.303 0.122 0.107 2.303
11 1400 7000 2.302 0.165 0.145 2.302
11 1500 7000 2.198 0.172 0.168 2.208
12 1600 7000 2.132 0.193 0.182 2.155
13 1700 7000 2.071 0.223 0.194 2.044
14 1800 7000 1.947 0.247 0.226 1.982
15 1900 7000 1.858 0.292 0.298 1.853
15 2000 7000 1.799 0.330 0.338 1.785
16 2100 7000 1.758 0.380 0.352 1.755
17 2200 7000 1.710 0.390 0.402 1.668
18 2300 7000 1.564 0.435 0.425 1.612
19 2400 7000 1.586 0.443 0.454 1.543
19 2500 7000 1.466 0.465 0.451 1.542
20 2600 7000 1.590 0.438 0.461 1.520
21 2700 7000 1.454 0.465 0.456 1.525
22 2800 7000 1.495 0.490 0.464 1.522
23 2900 7000 1.381 0.505 0.465 1.502
23 3000 7000 1.400 0.525 0.500 1.418
24 3100 7000 1.382 0.520 0.469 1.529
25 3200 7000 1.328 0.517 0.500 1.418
26 3300 7000 1.275 0.557 0.498 1.411
27 3400 7000 1.337 0.527 0.462 1.554
27 3500 7000 1.167 0.588 0.511 1.393
28 3600 7000 1.223 0.570 0.503 1.409
29 3700 7000 1.358 0.530 0.501 1.431
30 3800 7000 1.177 0.588 0.517 1.378
31 3900 7000 1.167 0.610 0.520 1.378
31 4000 7000 1.202 0.570 0.520 1.377
32 4100 7000 1.057 0.665 0.521 1.375
33 4200 7000 1.210 0.588 0.511 1.396
34 4300 7000 1.140 0.593 0.497 1.470
35 4400 7000 1.093 0.605 0.516 1.386
35 4500 7000 1.149 0.570 0.521 1.383
36 4600 7000 1.044 0.650 0.518 1.400
37 4700 7000 1.141 0.598 0.525 1.374
38 4800 7000 0.990 0.665 0.516 1.418
39 4900 7000 1.015 0.632 0.530 1.390
39 5000 7000 1.024 0.655 0.529 1.371
