#model_type   : LSTM
#input_length : 9
#input_dim    : 10
#num_classes  : 10
#num_hidden   : 128
#batch_size   : 128
#learn_rate   : 0.001
#train_steps  : 800
#max_norm     : 10.0
#train_step accuracy loss
0 0.094 2.312
2 0.229 2.163
4 0.337 1.950
6 0.427 1.742
8 0.509 1.431
10 0.604 1.137
12 0.621 1.083
14 0.749 0.761
16 0.766 0.663
18 0.829 0.534
20 0.873 0.428
22 0.895 0.339
24 0.910 0.299
26 0.914 0.273
28 0.938 0.208
30 0.939 0.215
32 0.968 0.135
34 0.972 0.124
36 0.962 0.135
38 0.979 0.093
40 0.979 0.085
42 0.987 0.072
44 0.970 0.111
46 0.986 0.064
48 0.991 0.050
50 0.990 0.050
52 0.987 0.052
54 0.996 0.035
