#model_type   : RNN
#input_length : 17
#input_dim    : 10
#num_classes  : 10
#num_hidden   : 128
#batch_size   : 128
#learn_rate   : 0.001
#train_steps  : 1000
#max_norm     : 10.0
#train_step accuracy loss
0 0.105 2.367
10 0.036 2.661
20 0.287 1.706
30 0.239 1.662
40 0.495 1.260
50 0.508 1.192
60 0.576 1.088
70 0.226 1.642
80 0.411 1.211
90 0.624 0.923
100 0.686 0.795
110 0.649 0.831
120 0.763 0.640
130 0.663 0.760
140 0.732 0.691
150 0.688 0.710
160 0.836 0.457
170 0.868 0.395
180 0.937 0.291
190 0.926 0.237
200 0.940 0.235
210 0.889 0.365
220 0.993 0.101
230 0.987 0.107
240 0.999 0.064
