#model_type   : 2-layer LSTM
#seq_length   : 30
#input_dim    : 93
#num_classes  : 93
#num_hidden   : 128
#batch_size   : 64
#learn_rate   : 0.002
#train_steps  : 50000
#max_norm     : 5.0
#lr_decay     : 0.96
#lr_step      : 5000
#train_step accuracy loss
0 0.001 4.534
100 0.168 3.084
200 0.296 2.583
300 0.366 2.247
400 0.436 1.958
500 0.452 1.864
600 0.478 1.769
700 0.481 1.741
800 0.521 1.649
900 0.512 1.684
1000 0.551 1.558
1100 0.557 1.553
1200 0.558 1.549
1300 0.571 1.460
1400 0.548 1.502
1500 0.532 1.540
1600 0.584 1.402
1700 0.555 1.514
1800 0.571 1.387
1900 0.583 1.374
2000 0.586 1.368
2100 0.582 1.375
2200 0.580 1.393
2300 0.591 1.375
2400 0.609 1.332
2500 0.588 1.382
2600 0.596 1.323
2700 0.610 1.310
2800 0.615 1.279
2900 0.618 1.274
3000 0.604 1.300
3100 0.578 1.330
3200 0.625 1.212
3300 0.621 1.244
3400 0.604 1.297
3500 0.621 1.257
3600 0.619 1.232
3700 0.620 1.210
3800 0.617 1.268
3900 0.620 1.246
4000 0.626 1.226
4100 0.624 1.242
4200 0.612 1.268
4300 0.623 1.207
4400 0.616 1.289
4500 0.637 1.205
4600 0.639 1.152
4700 0.621 1.220
4800 0.613 1.239
4900 0.637 1.246
5000 0.617 1.210
5100 0.630 1.239
5200 0.605 1.275
5300 0.642 1.164
5400 0.621 1.224
5500 0.634 1.160
5600 0.643 1.185
5700 0.641 1.156
5800 0.644 1.178
5900 0.639 1.173
6000 0.610 1.198
6100 0.630 1.173
6200 0.640 1.180
6300 0.645 1.129
6400 0.635 1.226
6500 0.636 1.187
6600 0.633 1.160
6700 0.634 1.174
6800 0.633 1.200
6900 0.652 1.107
7000 0.646 1.132
7100 0.637 1.152
7200 0.651 1.152
7300 0.642 1.159
7400 0.644 1.136
7500 0.673 1.067
7600 0.663 1.098
7700 0.654 1.111
7800 0.649 1.149
7900 0.661 1.134
8000 0.628 1.192
8100 0.669 1.084
8200 0.633 1.184
8300 0.671 1.103
8400 0.661 1.115
